trial_number,metric,status,duration_sec,params,timestamp
49,nan,pruned,0.30,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_retriever"": 16, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.3149436350324834, ""w_multiv"": 0.33026515757807606, ""w_sparse"": 0.35479120738944064}",2026-01-07T11:03:55.597859Z
50,nan,pruned,0.00,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 8, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.545495987522757, ""w_multiv"": 0.048507488334236466, ""w_sparse"": 0.4059965241430066}",2026-01-07T11:03:56.761931Z
51,nan,pruned,0.22,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 1, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.3696728830493802, ""w_multiv"": 0.3716496958538875, ""w_sparse"": 0.2586774210967322}",2026-01-07T11:03:58.298022Z
52,nan,pruned,0.63,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:03:59.926782Z
53,0.710047,complete,2.19,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.3048388502966313, ""w_multiv"": 0.30120185631451535, ""w_sparse"": 0.39395929338885316}",2026-01-07T11:04:11.050087Z
54,nan,pruned,0.17,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.301201333442856, ""w_multiv"": 0.30230526892223036, ""w_sparse"": 0.3964933976349137}",2026-01-07T11:04:12.428170Z
55,nan,pruned,0.22,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.315593708519192, ""w_multiv"": 0.39295101806694566, ""w_sparse"": 0.29145527341386224}",2026-01-07T11:04:13.754784Z
56,nan,pruned,0.27,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.3025183619418376, ""w_multiv"": 0.22100790970075962, ""w_sparse"": 0.4764737283574028}",2026-01-07T11:04:15.683120Z
57,nan,pruned,0.31,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.3297187536688826, ""w_multiv"": 0.17367504095344938, ""w_sparse"": 0.496606205377668}",2026-01-07T11:04:17.699166Z
58,nan,pruned,0.43,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 16, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.34813898491670586, ""w_multiv"": 0.37619955503996405, ""w_sparse"": 0.27566146004333014}",2026-01-07T11:04:19.731015Z
